epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6505,9648.5,0.5846,10264.0
1,0.5128,2981.5,0.4662,6855.5
2,0.4116,1636.5,0.3775,4303.0
3,0.3335,812.0,0.3054,3204.0
4,0.2740,993.0,0.2518,2552.5
5,0.2298,563.5,0.2124,1981.5
6,0.1976,363.0,0.1868,1476.5
7,0.1743,382.0,0.1672,1260.0
8,0.1578,171.5,0.1515,888.5
9,0.1460,151.0,0.1443,814.5
10,0.1376,61.0,0.1378,622.5
11,0.1314,102.0,0.1344,617.0
12,0.1269,159.5,0.1297,719.0
13,0.1234,53.0,0.1275,636.0
14,0.1209,53.0,0.1256,584.5
15,0.1189,69.0,0.1252,580.5
16,0.1172,60.5,0.1236,587.0
17,0.1159,45.5,0.1231,760.5
18,0.1149,30.0,0.1227,778.0
19,0.1140,50.0,0.1218,1034.0
20,0.1133,41.0,0.1216,921.5
21,0.1126,178.5,0.1210,938.5
