epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6729,9633.5,0.6191,14253.0
1,0.5544,4072.5,0.5233,8320.5
2,0.4671,3005.0,0.4444,5967.5
3,0.3961,1815.0,0.3792,4934.0
4,0.3378,1256.0,0.3245,3602.0
5,0.2904,825.5,0.2783,2804.5
6,0.2522,395.0,0.2416,2500.0
7,0.2216,373.0,0.2138,2051.5
8,0.1976,589.0,0.1918,1674.5
9,0.1787,323.5,0.1749,1440.0
10,0.1640,251.0,0.1618,1010.5
11,0.1526,67.5,0.1514,881.0
12,0.1437,99.5,0.1443,740.5
13,0.1369,121.0,0.1392,712.0
14,0.1316,109.0,0.1345,589.5
15,0.1274,80.5,0.1313,683.5
16,0.1241,21.5,0.1298,496.5
17,0.1215,25.0,0.1281,639.0
18,0.1194,43.5,0.1260,618.0
19,0.1178,59.0,0.1253,582.5
20,0.1164,34.5,0.1240,757.5
21,0.1153,31.5,0.1231,716.5
22,0.1143,13.0,0.1224,807.5
