epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6419,4413.5,0.5737,7406.0
1,0.5038,1999.0,0.4639,4980.5
2,0.4051,1107.0,0.3770,3078.0
3,0.3293,436.5,0.3083,2443.0
4,0.2717,253.0,0.2550,1941.5
5,0.2287,345.0,0.2165,1420.5
6,0.1971,83.5,0.1890,1149.0
7,0.1744,50.0,0.1685,783.5
8,0.1579,25.5,0.1555,507.0
9,0.1463,73.0,0.1464,477.5
10,0.1378,72.0,0.1397,392.5
11,0.1316,20.5,0.1347,408.0
12,0.1271,87.5,0.1313,407.5
13,0.1238,7.5,0.1290,304.0
14,0.1211,18.5,0.1270,390.5
15,0.1190,15.5,0.1251,474.5
16,0.1174,10.0,0.1246,456.0
17,0.1161,8.0,0.1241,608.0
18,0.1150,15.5,0.1227,768.5
19,0.1140,22.0,0.1225,617.5
