epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6687,7462.5,0.5856,11764.5
1,0.5136,3410.5,0.4633,5882.5
2,0.4083,1504.5,0.3738,4001.0
3,0.3295,1135.5,0.3035,2793.5
4,0.2705,1127.5,0.2514,2040.5
5,0.2272,245.5,0.2130,1540.0
6,0.1958,297.0,0.1854,1019.0
7,0.1732,162.5,0.1659,861.0
8,0.1571,47.5,0.1530,648.5
9,0.1456,26.5,0.1434,447.0
10,0.1373,9.0,0.1370,366.5
11,0.1313,13.5,0.1329,321.5
12,0.1268,11.0,0.1296,329.0
13,0.1235,10.5,0.1273,291.5
14,0.1209,31.0,0.1255,264.5
15,0.1189,7.5,0.1243,347.0
16,0.1173,11.5,0.1232,343.5
17,0.1161,7.5,0.1223,296.5
18,0.1151,9.0,0.1216,333.0
19,0.1142,13.5,0.1211,417.0
20,0.1135,11.0,0.1206,489.5
