epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6592,7067.5,0.5889,10983.5
1,0.5125,4018.5,0.4672,5534.5
2,0.4072,1097.0,0.3783,3543.5
3,0.3277,614.0,0.3089,2766.5
4,0.2684,339.0,0.2572,2349.0
5,0.2248,201.5,0.2184,1658.5
6,0.1932,137.0,0.1916,1221.5
7,0.1707,36.0,0.1715,961.0
8,0.1547,22.0,0.1582,882.0
9,0.1434,6.0,0.1493,718.0
10,0.1353,1.0,0.1426,662.5
11,0.1295,3.0,0.1380,632.5
12,0.1252,1.0,0.1346,726.0
13,0.1221,1.0,0.1320,762.0
14,0.1196,0.5,0.1302,844.5
15,0.1178,0.0,0.1289,917.0
16,0.1163,0.0,0.1276,1050.0
17,0.1152,1.0,0.1267,1058.5
