epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6373,5897.0,0.5740,8641.0
1,0.5055,1649.0,0.4659,5911.0
2,0.4061,1124.5,0.3785,3831.5
3,0.3290,1083.0,0.3083,2834.5
4,0.2705,457.0,0.2554,2225.5
5,0.2270,577.5,0.2148,1775.0
6,0.1953,145.0,0.1871,1322.0
7,0.1727,58.5,0.1686,1040.0
8,0.1565,87.0,0.1547,869.0
9,0.1449,36.0,0.1466,651.5
10,0.1367,15.5,0.1395,682.5
11,0.1307,16.0,0.1351,537.5
12,0.1264,8.0,0.1318,672.0
13,0.1231,2.5,0.1295,591.0
14,0.1205,1.0,0.1279,515.0
15,0.1186,1.5,0.1265,544.0
16,0.1171,2.0,0.1255,519.5
17,0.1159,1.0,0.1248,586.5
18,0.1148,1.0,0.1239,620.5
19,0.1140,4.5,0.1231,683.5
20,0.1133,2.0,0.1227,860.0
