epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6903,3470.0,0.6938,12448.5
1,0.6368,1966.5,0.6810,8496.0
2,0.6062,987.0,0.6724,7835.0
3,0.5842,929.5,0.6688,7381.5
4,0.5674,257.5,0.6720,6094.5
5,0.5540,252.0,0.6705,6395.5
6,0.5429,96.0,0.6724,5355.5
7,0.5336,49.0,0.6676,5408.5
8,0.5255,70.5,0.6666,5472.0
9,0.5183,31.5,0.6701,5563.0
10,0.5119,49.5,0.6668,5234.0
11,0.5061,22.5,0.6730,5118.0
12,0.5006,38.5,0.6699,5052.5
13,0.4956,12.0,0.6703,5587.5
14,0.4910,9.0,0.6728,5474.0
15,0.4867,8.0,0.6758,5997.0
16,0.4826,21.5,0.6775,5488.5
17,0.4786,3.0,0.6744,5717.0
18,0.4749,15.0,0.6745,5232.5
