epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.5987,3884.0,0.5675,9856.0
1,0.4311,3301.0,0.4425,6144.0
2,0.3104,3020.5,0.3462,4486.5
3,0.2201,1268.0,0.2733,3073.5
4,0.1538,1304.5,0.2201,2251.0
5,0.1063,609.5,0.1834,1852.5
6,0.0732,327.0,0.1597,1360.5
7,0.0506,539.0,0.1427,1244.0
8,0.0354,120.0,0.1337,1101.0
9,0.0252,60.0,0.1270,1155.5
10,0.0184,215.5,0.1230,1272.5
11,0.0137,248.5,0.1211,1193.0
12,0.0104,206.0,0.1194,1555.5
13,0.0081,90.0,0.1183,1958.0
14,0.0064,344.0,0.1176,2583.5
