epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.7373,5449.5,0.6172,11902.0
1,0.6458,4618.5,0.5196,7619.0
2,0.5765,2277.5,0.4344,5888.5
3,0.5196,1893.5,0.3678,4151.5
4,0.4734,1069.0,0.3102,3098.0
5,0.4365,1058.5,0.2702,2358.5
6,0.4074,600.0,0.2339,1746.5
7,0.3850,587.0,0.2087,1596.0
8,0.3678,275.0,0.1896,1215.0
9,0.3547,229.0,0.1761,991.5
10,0.3445,170.0,0.1649,844.5
11,0.3369,125.0,0.1573,691.0
12,0.3308,128.5,0.1507,688.5
13,0.3261,277.0,0.1472,697.5
14,0.3224,67.5,0.1451,688.5
15,0.3195,48.0,0.1411,553.5
16,0.3171,38.5,0.1387,678.5
17,0.3150,41.5,0.1365,578.0
18,0.3135,32.0,0.1359,605.5
19,0.3121,40.5,0.1341,743.5
20,0.3110,42.0,0.1335,659.0
21,0.3100,52.0,0.1316,701.0
