epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6308,4911.5,0.5474,9494.5
1,0.4738,3013.0,0.4124,5160.5
2,0.3615,1401.0,0.3147,3357.5
3,0.2814,1641.5,0.2471,2490.0
4,0.2265,780.5,0.2007,1969.0
5,0.1900,518.5,0.1721,1282.5
6,0.1661,426.0,0.1545,911.0
7,0.1506,214.5,0.1445,704.5
8,0.1401,154.0,0.1377,652.5
9,0.1330,168.5,0.1330,644.5
10,0.1279,112.5,0.1299,620.5
11,0.1242,104.5,0.1276,823.5
12,0.1214,41.0,0.1269,783.5
13,0.1193,35.0,0.1249,619.5
14,0.1177,42.5,0.1249,802.5
15,0.1163,119.5,0.1230,994.5
16,0.1152,57.5,0.1226,1016.5
17,0.1143,59.0,0.1220,1062.0
18,0.1136,95.0,0.1218,1084.5
19,0.1129,66.0,0.1211,1055.5
