epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.7351,6040.5,0.6464,10109.0
1,0.5673,5504.5,0.4804,5746.0
2,0.4274,2146.5,0.3534,4176.0
3,0.3243,1466.5,0.2682,2643.0
4,0.2538,1669.5,0.2111,2075.0
5,0.2075,537.0,0.1774,1520.5
6,0.1778,442.0,0.1573,1149.0
7,0.1585,508.5,0.1441,976.0
8,0.1458,139.5,0.1373,607.0
9,0.1371,84.0,0.1329,823.5
10,0.1310,77.0,0.1302,614.5
11,0.1265,85.0,0.1272,651.0
12,0.1232,104.5,0.1264,920.5
13,0.1207,95.5,0.1241,787.0
14,0.1187,36.0,0.1237,1011.5
