epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.7105,12300.5,0.7078,17365.0
1,0.6790,7471.5,0.6934,13262.5
2,0.6693,8257.0,0.6851,11415.5
3,0.6626,8000.0,0.6813,10740.0
4,0.6573,5513.5,0.6762,9706.5
5,0.6527,5388.0,0.6729,9197.0
6,0.6488,4289.5,0.6681,7603.5
7,0.6452,3986.5,0.6680,7646.0
8,0.6419,2611.0,0.6686,6692.0
9,0.6388,4019.0,0.6615,6440.5
10,0.6356,2565.0,0.6615,6566.5
11,0.6323,4180.5,0.6604,6025.5
12,0.6286,2047.5,0.6560,5138.5
13,0.6244,3633.5,0.6558,5083.0
14,0.6194,2347.0,0.6469,4994.0
15,0.6139,2165.0,0.6375,4560.0
16,0.6077,2372.0,0.6323,4682.0
17,0.6013,1893.0,0.6248,3955.5
18,0.5948,1947.0,0.6179,3561.5
19,0.5883,1675.5,0.6143,3760.5
20,0.5817,1531.5,0.6039,3329.0
21,0.5751,1364.5,0.5983,3247.0
22,0.5684,738.5,0.5933,3064.5
23,0.5618,1989.0,0.5837,3122.5
24,0.5554,1067.5,0.5826,2749.0
25,0.5489,656.5,0.5738,2869.0
26,0.5424,1512.5,0.5664,2719.5
27,0.5360,1112.5,0.5642,2693.0
28,0.5297,516.5,0.5523,2284.5
29,0.5234,1037.0,0.5451,2381.5
30,0.5171,1165.0,0.5391,2336.5
31,0.5109,679.5,0.5348,2316.5
32,0.5047,520.5,0.5315,2465.5
33,0.4986,930.5,0.5243,2162.0
34,0.4925,469.0,0.5188,2082.5
35,0.4865,522.5,0.5122,2206.5
36,0.4806,727.5,0.5087,1815.0
37,0.4747,480.0,0.5074,1804.5
38,0.4689,757.5,0.5008,1760.0
39,0.4631,418.5,0.4909,1884.5
40,0.4574,542.0,0.4857,1790.5
41,0.4518,484.5,0.4770,1544.5
42,0.4462,433.5,0.4747,1648.0
43,0.4407,779.5,0.4729,1717.5
44,0.4353,397.0,0.4654,1752.0
45,0.4299,564.5,0.4564,1607.0
46,0.4246,717.5,0.4543,1626.0
47,0.4194,330.0,0.4493,1684.0
