epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6496,5590.0,0.5870,11850.5
1,0.5129,3498.5,0.4713,6470.5
2,0.4117,2222.5,0.3775,4714.0
3,0.3335,848.0,0.3061,3208.0
4,0.2740,1056.5,0.2531,2400.0
5,0.2298,609.5,0.2125,1887.5
6,0.1976,637.0,0.1846,1439.0
7,0.1744,436.5,0.1649,1144.0
8,0.1578,174.5,0.1528,824.0
9,0.1460,213.0,0.1438,675.0
10,0.1376,136.0,0.1368,585.5
11,0.1315,113.5,0.1333,599.5
12,0.1269,57.0,0.1301,558.0
13,0.1235,57.0,0.1279,638.0
14,0.1209,41.0,0.1262,601.5
15,0.1189,35.0,0.1251,563.5
16,0.1173,27.5,0.1242,641.5
17,0.1159,28.5,0.1235,735.0
18,0.1149,36.0,0.1226,820.5
