epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6451,5385.0,0.5801,9339.0
1,0.5056,1947.0,0.4654,5451.0
2,0.4062,1297.5,0.3780,4012.5
3,0.3299,510.0,0.3075,2449.5
4,0.2722,309.5,0.2527,1913.5
5,0.2290,367.5,0.2154,1500.0
6,0.1974,261.0,0.1872,1085.5
7,0.1746,53.0,0.1671,798.0
8,0.1582,75.0,0.1534,624.5
9,0.1465,131.5,0.1442,496.0
10,0.1380,109.0,0.1377,437.0
11,0.1319,34.5,0.1340,448.5
12,0.1273,19.5,0.1310,458.0
13,0.1239,7.5,0.1281,469.0
14,0.1212,9.5,0.1267,487.0
15,0.1191,10.0,0.1252,542.0
16,0.1175,25.5,0.1234,580.5
