epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6299,4068.5,0.5494,8417.5
1,0.4733,3242.0,0.4154,5354.5
2,0.3617,1714.5,0.3162,3349.5
3,0.2819,1817.0,0.2479,2109.5
4,0.2272,522.5,0.2027,1658.0
5,0.1906,480.0,0.1730,1336.5
6,0.1668,479.5,0.1543,995.5
7,0.1510,225.5,0.1449,795.0
8,0.1406,220.5,0.1377,645.5
9,0.1334,49.5,0.1329,511.0
10,0.1282,150.0,0.1297,574.0
11,0.1245,98.0,0.1278,569.5
12,0.1217,55.0,0.1263,614.0
13,0.1196,105.0,0.1247,618.0
14,0.1179,88.0,0.1238,623.5
15,0.1165,66.0,0.1235,873.5
