epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.6512,4581.0,0.5845,11330.0
1,0.5082,3174.5,0.4694,6443.5
2,0.4051,1758.5,0.3778,4178.0
3,0.3275,941.0,0.3097,3132.5
4,0.2694,571.5,0.2565,2440.0
5,0.2264,163.0,0.2161,1737.0
6,0.1952,231.5,0.1890,1313.5
7,0.1727,145.0,0.1679,1026.5
8,0.1567,91.5,0.1552,956.0
9,0.1453,71.0,0.1461,630.5
10,0.1370,20.5,0.1395,666.5
11,0.1311,12.0,0.1355,643.0
12,0.1267,8.5,0.1307,703.0
13,0.1233,10.0,0.1293,676.5
14,0.1208,1.5,0.1272,604.5
15,0.1188,2.0,0.1262,607.5
16,0.1172,4.5,0.1252,670.5
17,0.1159,10.0,0.1241,771.0
18,0.1149,8.0,0.1236,634.0
19,0.1141,18.0,0.1223,775.0
20,0.1134,18.0,0.1221,911.5
