epoch, avg_train_loss, train_eval_score, avg_dev_loss, dev_eval_score
0,0.4875,19090.0,0.1517,15788.0
1,0.1505,18465.0,0.1368,18125.5
2,0.1318,21299.0,0.1326,15755.5
3,0.1262,20426.0,0.1299,14178.5
4,0.1229,20493.0,0.1280,14598.0
5,0.1206,20107.5,0.1264,14029.0
6,0.1189,14976.5,0.1254,14866.5
7,0.1176,19205.5,0.1244,16125.0
8,0.1165,19131.5,0.1236,15066.0
9,0.1156,16952.0,0.1230,15482.0
10,0.1148,16259.0,0.1224,14128.0
11,0.1142,20022.0,0.1219,13806.5
12,0.1137,17975.0,0.1216,16081.5
13,0.1132,19608.5,0.1212,15174.0
14,0.1128,19516.5,0.1208,13469.0
15,0.1124,20165.5,0.1205,15541.0
16,0.1121,19946.0,0.1202,13928.5
17,0.1117,17209.0,0.1200,13789.5
18,0.1115,18379.0,0.1198,14645.0
19,0.1113,19691.5,0.1196,14813.0
20,0.1110,16522.0,0.1194,14361.0
